Job Position,Office,City,Country,Salary,Work Time,Job Level,Job Level Specific,Job_Category,Industry,Qualification 1,Qualification 2,Qualification 3,Qualification 4,Qualification 5,
Marketing Agency,PT BFI FInance Indonesia Tbk,Jakarta Barat,Indonesia,Salary Undisclosed,Full Time,Associate,Supervisor,Sales and Marketing,Finance Services,Man / Woman,Max 30 years old,Attractive appearance (for CMS position),Minimum D3/S1 education (Min. 2 years experience in the same field),Have a private vehicle and an active SIM C,
Marketing Agency - Sumbawa,PT BFI Finance Indonesia Tbk,Sumbawa,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Sales and Marketing,Financial Services,Max 30 years old,Attractive appearance (for CMS position),Minimum D3/S1 education (Min. 2 years experience in the same field),Have a private vehicle and an active SIM C,,
Marketing Agency (BPKB Mobil) Jakarta Utara,PT BFI Finance Indonesia Tbk,Tangerang,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Sales and Marketing,Financial Services,Man / Woman,Max 30 years old,Attractive appearance (for CMS position),Minimum D3/S1 education (Min. 2 years experience in the same field),Have a private vehicle and an active SIM C,
Marketing Agency (Malang),PT BFI Finance Indonesia Tbk,Malang,Indonesia,"IDR 3,690,000.00 - IDR 4,100,000.00 / month",Full Time,Entry Level,"Junior, Apprentice",Sales and Marketing,Financial Services,Minimum diploma in any major,Max 30 years old,Having good communication skills,Likes work with targets,Have a private vehicle and an active SIM C,
Marketing Agency (OJR) - Jabodetabek,PT BFI Finance Indonesia Tbk,Tangerang,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Sales and Marketing,Financial Services,Man / Woman,Max 30 years old,Attractive appearance (for CMS position),Minimum D3/S1 education (Min. 2 years experience in the same field),Have a private vehicle and an active SIM C,
Marketing Agency Branch Lamongan,PT BFI Finance Indonesia Tbk,Surabaya,Indonesia,"IDR 2,700,000.00 / month",Full Time,Entry Level,"Junior, Apprentice",Sales and Marketing,Financial Services,Man / Woman,Max 30 years old,Attractive appearance (for CMS position),Minimum D3/S1 education (Min. 2 years experience in the same field),Have a private vehicle and an active SIM C,
Marketing Agency Car - Surabaya,PT BFI Finance Indonesia Tbk,Surabaya,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Sales and Marketing,Financial Services,Man or woman,Max age 30 years,Min. D3/S1 graduates from all majors,Fresh Graduated/Experienced,Target Oriented,
Marketing Agency Motor - Surabaya,PT BFI Finance Indonesia Tbk,Surabaya,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Sales and Marketing,Financial Services,Man / Woman,Max 30 years old,Min. D3/S1 graduates from all majors,Fresh Graduated/Experienced,Target Oriented,
Marketing Agency Motorcycle Product,PT BFI FInance Indonesia Tbk,Jakarta Barat,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Sales and Marketing,Finance Services,Man / Woman,Max 30 years old,Attractive appearance (for CMS position),Minimum D3/S1 education (Min. 2 years experience in the same field),Have a private vehicle and an active SIM C,
Marketing Agency Motorcycle Product Branch Sunter,PT BFI FInance Indonesia Tbk,Jakarta Barat,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Sales and Marketing,Finance Services,Man / Woman,Max 30 years old,Attractive appearance (for CMS position),Minimum D3/S1 education (Min. 2 years experience in the same field),Have a private vehicle and an active SIM C,
Marketing and Social Media Content Management Intern,Cartimes Exotic Pte Ltd,Singapore,Singapore,"IDR 8,111,621.00 - IDR 11,588,030.00",Full Time,Internship,OJT,Sales and Marketing,Automotive,"Preferred to hold at least a diploma in a relevant field such as communications, marketing, mass communications,video production or related fields","Proven experience in social media content creation, including photography, videography and on-camera performance","Working knowledge of Adobe Photoshop, Google Drive, Mac and video editing platform of choice is a plus",Ability to work independently in a fast-paced environment,"Ability to perform in a high-pressure environment, juggling and executing on multiple priorities",
Marketing Brand Activation Asst. Manager KG Radio Network,Kompas Gramedia,Jakarta Barat,Indonesia,Salary Undisclosed,Full Time,Mid-Senior Level,Manager,Sales and Marketing,Media Production,"Bachelor degree in Communication, Management or Bussiness ( preferably)",At least 4-5 years experience as Marketing. Preferably having experience in Media industry.,Able to lead the marketing strategy and implementation effective promotion.,Have high creative ideas and concepts,Willing to work in a fast and tight rhythm of time,
Marketing Communication and Host Live,CV. Ingat Selalu Ceilo,Surabaya,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Sales and Marketing,Business Supplies and Equipment,Have high communication skills and self-confidence when promoting and selling products in front of the camera,"Familiar with features on Tiktok, Instagram and other social media",Willing to work in a Shifting system,"Extrovert, Confident, Active and Creative",Can work individually and in a team,
Marketing Communication Assistant Manager - Activation,PT Prodia Widyahusada Tbk. (Prodia),Jakarta Pusat,Indonesia,Salary Undisclosed,Full Time,Associate,Supervisor,Sales and Marketing,Healthcare,"Bachelor's Degree in Communication / Marketing Communication / Marketing, min GPA 3.00",Have min 2-3 years working experience as Brand Activation Specialist in agency or corporate.,Possess in planning and strategic of media management.,Excellent communication skills (direct communication with internal stakeholders / external parties).,"Has open mindset towards, creative and initiates improvement",
Marketing Communication Manager,NEXA,Semarang,Indonesia,Salary Undisclosed,Full Time,Mid-Senior Level,Manager,Sales and Marketing,Telecommunications,Bachelor's degree or equivalent,Experience as Leader/Head in Marketing Communications division (min. 5 years),Strong leadership and team management skills.,Strong written and oral skills,"Brand positioning in new brand (launching strategy,communication, and positioning)",
Marketing Corporate Executive (MCE) Area Bandung,PT BFI Finance Indonesia Tbk,Bandung,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Sales and Marketing,Financial Services,"Male/Female, maximum age 27 years",Education min. S1 all majors,"Experience in the heavy equipment, truck or machinery industry is preferred","Experienced in banking, leasing, non-leasing (fresh graduates are welcome)",Have an A/C SIM (Able to drive a car),
Marketing Corporate Executive (MCE) Area Jakarta,PT BFI Finance Indonesia Tbk,Jakarta Pusat,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Sales and Marketing,Financial Services,"Male/Female, Maximum age 27 years",Education Min. S1 All Majors,"Experience in the heavy equipment, truck or machinery industry is preferred","Experienced in banking, leasing, non-leasing (fresh graduates are welcome)",Have an A/C SIM (Able to drive a car),
Marketing Corporate Executive (MCE) Area Jawa Tengah,PT BFI Finance Indonesia Tbk,Semarang,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Sales and Marketing,Financial Services,"Male/Female, maximum age 27 years",Education min. S1 all majors,"Experience in the heavy equipment, truck or machinery industry is preferred","Experienced in banking, leasing, non-leasing (fresh graduates are welcome)",Have an A/C SIM (Able to drive a car),
Marketing Corporate Executive (MCE) Area Palembang,PT BFI FInance Indonesia Tbk,Palembang,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Sales and Marketing,Financial Services,"Male/Female, Maximum age 27 years",Education Min. S1 All Majors,"Experience in the heavy equipment, truck or machinery industry is preferred","Experienced in banking, leasing, non-leasing (fresh graduates are welcome)",Have an A/C SIM (Able to drive a car),
Marketing Corporate Executive HETO Junior - Branch Corporate Semarang,PT BFI Finance Indonesia Tbk,Semarang,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Sales and Marketing,Financial Services,"Male/Female, Maximum age 27 years",Education Min. S1 All Majors,"Experience in the heavy equipment, truck or machinery industry is preferred","Experienced in banking, leasing, non-leasing (fresh graduates are welcome)",Have an A/C SIM (Able to drive a car),
Marketing Domestic,Kebab Bosman,Surabaya,Indonesia,"IDR 4,000,000.00 / month",Full Time,Entry Level,"Junior, Apprentice",Sales and Marketing,Food and Beverages,Male / Female minimum age 25 years,Minimum Diploma/Bachelor degree in all majors,"Has experience in the fields of forwarding, EMKL, Logistics, Cargo domestic, industrial, and similar",Can operate MS. Office,"Nimble, honest, thorough, disciplined, able to communicate well and responsible",
Marketing Exim,Kebab Bosman,Surabaya,Indonesia,"IDR 4,000,000.00 / month",Full Time,Entry Level,"Junior, Apprentice",Sales and Marketing,Food and Beverages,Male / Female minimum age 25 years,Minimum Diploma/Bachelor degree in all majors,"Has experience in the fields of Export Import, shipping lines and freight forwarding",Can operate MS. Office,"Nimble, honest, thorough, disciplined, able to communicate well and responsible",
Marketing Intern,AUG Student Services,Singapore,Singapore,"IDR 11,588,030.00 - IDR 13,905,636.00",Full Time,Internship,OJT,Sales and Marketing,Consulting Companny,"Currently studying or a recent graduate in Marketing, Business, or a related field.",Knowledge of content creation,Proficient in either Final Cut Pro or Premiere Pro,Able to meet tight deadlines,Good command of English,
Marketing Manager,JoyRide PH,Pasig,Philippines,"IDR 5,000,000.00 - IDR 30,000,000.00",Full Time,Mid-Senior Level,Manager,Sales and Marketing,Essential Services,"Degree in Marketing, Advertising, Mass Communication, Business, or related field",Has experience managing and delegating a team,Hands-on and active experience in a marketing field. • Ideally involved in both Online and Offline marketing.,Plus points if he or she has worked in a marketing agency but not required,Must be fluent in English and Tagalog,
